Date,TradeStat,Sector,Measure,Value
1998-03-01,A,PI,WMF,516.67046561
1998-03-01,A,PI,N,6.3
1998-03-01,A,PI,R,5.1
1998-03-01,A,MET,WMF,809.84390608
1998-03-01,A,MET,N,11.2
1998-03-01,A,MET,R,11.8
1998-03-01,A,FZ,WMF,210.20458432
1998-03-01,A,FZ,N,0.4
1998-03-01,A,FZ,R,-17.4
1998-03-01,A,TBS,WMF,337.46191237
1998-03-01,A,TBS,N,2.5
1998-03-01,A,TBS,R,1.3
1998-03-01,H,GT,WMF,337.35555635
1998-04-01,E,GT,WMF,9108.82105887
1998-04-01,E,GT,N,5.1
1998-04-01,E,GT,R,7.8
1998-04-01,E,CHEM,WMF,1433.63329238
1998-04-01,E,CHEM,N,-1.1
1998-04-01,E,CHEM,R,-1.9
1998-04-01,E,ME,WMF,2023.78757191
1998-04-01,E,ME,N,5.4
